 CYS 20050808  9.49  8.54  0.27  0.60  0.13 293.8
 CYS 20050809  9.59  7.94  0.17  0.55  0.19 290.0
 CYS 20050810  9.50  7.97  0.10  0.61  0.25 290.8
 CYS 20050811  9.39  8.10  0.26  0.54  0.14 291.8
 CYS 20050812  9.41  7.99  0.28  0.46  0.19 289.7
 CYS 20050813  9.09  6.40  0.17  0.38  0.13 296.1
 CYS 20050814  8.92  7.57  0.33  0.45  0.12 299.0
 CYS 20050815  9.08  8.48  0.46  0.50  0.04 293.0
 CYS 20050816  9.11  7.55  0.15  0.54  0.24 290.6
 CYS 20050817  8.81  6.70  0.04  0.43  0.41 296.7
 CYS 20050818  8.73  7.01  0.00  0.62  0.31 297.1
 CYS 20050819  8.91  7.57  0.25  0.50  0.18 290.4
 CYS 20050820  8.44  7.99  0.55  0.44  0.01 301.5
 CYS 20050821  8.55  7.99  0.48  0.48  0.04 296.2
 CYS 20050822  8.83  7.90  0.27  0.57  0.16 286.3
 CYS 20050823  8.58  7.43  0.10  0.67  0.23 291.1
 CYS 20050824  8.05  7.21  0.28  0.56  0.16 304.3
 CYS 20050825  8.31  7.29  0.24  0.56  0.18 294.2
 CYS 20050826  8.29  7.79  0.56  0.40  0.03 292.5
 CYS 20050827  8.15  7.74  0.68  0.28  0.03 294.5
 CYS 20050828  7.78  7.23  0.46  0.50  0.03 303.5
 CYS 20050829  8.05  7.64  0.59  0.39  0.02 292.8
 CYS 20050830  8.04  7.14  0.41  0.45  0.08 290.4
 CYS 20050901  7.65  7.28  0.58  0.42  0.00 297.0
 CYS 20050902  7.78  7.29  0.49  0.48  0.03 290.6
 CYS 20050903  7.84  7.15  0.30  0.60  0.11 285.9
 CYS 20050904  7.92  7.09  0.26  0.59  0.15 280.5
 CYS 20050905  7.67  7.03  0.37  0.54  0.09 285.6
 CYS 20050906  7.61  6.39  0.27  0.49  0.14 284.6
 CYS 20050907  7.59  6.82  0.32  0.54  0.13 282.4
 CYS 20050909  7.64  6.76  0.21  0.58  0.22 274.5
 CYS 20050911  7.16  6.70  0.56  0.33  0.12 284.0
 CYS 20050913  6.59  5.28  0.11  0.54  0.24 297.7
 CYS 20050914  6.55  5.97  0.36  0.53  0.11 295.8
 CYS 20050915  6.44  5.94  0.41  0.51  0.08 296.5
 CYS 20050916  6.35  5.45  0.19  0.60  0.16 296.5
 CYS 20050917  6.04  5.20  0.20  0.58  0.18 305.6
 CYS 20050918  6.17  4.87  0.23  0.42  0.18 296.4
 CYS 20050919  6.10  5.85  0.72  0.27  0.00 295.9
 CYS 20050920  6.31  5.51  0.26  0.55  0.15 283.7
 CYS 20050923  5.90  4.53  0.04  0.52  0.30 289.2
 CYS 20050924  5.92  4.25  0.00  0.46  0.33 284.4
 CYS 20050925  5.80  3.89  0.06  0.33  0.30 285.4
 CYS 20050927  6.16  4.05  0.01  0.40  0.25 263.8
 CYS 20050928  6.00  5.79 99.00 45.10 97.40 278.6
 CYS 20050929  6.12  5.96100.00 45.50 97.40 270.5
 CYS 20050930  6.22  6.06100.00 45.90 97.40 262.8
 CYS 20051001  5.67  5.52100.00 46.30 97.40 279.9
 CYS 20051002  5.81  5.64 99.80 46.70 97.40 270.8
 CYS 20051003  5.80  5.65100.00 47.10 97.40 266.9
 CYS 20051004  5.54  4.52 84.00 47.40 97.40 273.4
 CYS 20051005  5.06  4.93100.00 47.80 97.40 290.6
 CYS 20051006  4.81  4.68100.00 48.20 97.40 298.7
 CYS 20051007  4.98  4.85100.00 48.60 97.40 285.3
 CYS 20051008  5.07  4.93100.00 49.00 97.40 276.9
 CYS 20051009  4.76  1.06 23.10 49.40 97.40 287.2
 CYS 20051010  4.90  0.79 16.70 49.80 97.40 275.9
 CYS 20051011  4.85  4.45 94.30 50.10 97.40 273.9
 CYS 20051012  5.01  4.22 86.70 50.50 97.40 262.1
 CYS 20051013  4.85  4.72100.00 50.90 97.40 265.5
 CYS 20051015  4.67  4.55100.00 51.60 97.40 265.4
 CYS 20051016  4.53  4.41100.00 52.00 97.30 268.1
 CYS 20051017  4.80  4.67100.00 52.30 97.30 251.4
 CYS 20051018  4.62  4.48 99.70 52.70 97.30 255.1
 CYS 20051019  4.17  0.79 19.80 53.10 97.30 273.9
 CYS 20051020  4.30  4.17 99.80 53.40 97.30 262.3
 CYS 20051021  3.81  1.74 47.50 53.80 97.30 285.9
 CYS 20051022  4.24  3.69 89.20 54.10 97.30 256.1
 CYS 20051023  4.12  4.01100.00 54.40 97.30 258.1
 CYS 20051024  4.28  4.17100.00 54.80 97.30 245.4
 CYS 20051025  4.28  4.17100.00 55.10 97.30 241.0
 CYS 20051026  4.18  3.91 96.10 55.40 97.30 242.1
 CYS 20051027  3.88  3.78100.00 55.80 97.30 254.0
 CYS 20051028  3.80  3.32 89.80 56.10 97.30 254.5
 CYS 20051029  3.67  3.53 98.80 56.40 97.30 258.0
 CYS 20051030  3.54  3.21 93.30 56.70 97.30 262.0
 CYS 20051031  3.77  3.67100.00 57.00 97.30 244.4
 CYS 20051101  3.92  3.81100.00 57.30 97.30 232.8
 CYS 20051102  3.74  3.43 93.90 57.60 97.50 237.7
 CYS 20051103  3.03  2.92 99.10 57.90 97.50 280.7
 CYS 20051104  2.99  2.90 99.60 58.20 97.50 279.0
 CYS 20051105  2.62  2.55100.00 58.50 97.50 308.4
 CYS 20051106  3.07  2.99100.00 58.80 97.50 263.7
 CYS 20051107  3.10  2.26 75.20 59.00 97.50 257.4
 CYS 20051108  3.18  2.42 78.00 59.30 97.40 247.8
 CYS 20051109  3.15  2.77 90.20 59.60 97.40 245.3
 CYS 20051110  3.24  3.12 98.60 59.80 97.40 235.6
 CYS 20051111  3.03  1.98 67.10 60.10 97.40 245.8
 CYS 20051112  2.57  2.38 95.00 60.30 97.40 279.2
 CYS 20051113  2.46  2.13 89.00 60.60 97.40 287.0
 CYS 20051114  2.07  1.35 67.00 60.80 97.40 330.5
 CYS 20051115  2.05  2.00100.00 61.00 97.40 329.1
 CYS 20051116  2.22  2.12 98.10 61.30 97.40 301.6
 CYS 20051117  2.10  1.51 73.80 61.50 97.40 313.0
 CYS 20051118  2.31  2.25100.00 61.70 97.40 283.6
